run0	13.7055927447
run1	13.4989459134
run2	13.6074436557
run3	14.5968793491
run4	12.7120564762
run5	14.0160940294
run6	13.4016445904
run7	10.8911313858
run8	12.8146741768
run9	13.7118250911
run10	12.3110812877
run11	13.5864646645
run12	11.8072256024
run13	13.7618860224
run14	11.8021941852
run15	16.0516552881
run16	15.0190135442
run17	12.3974365079
run18	12.5419029738
run19	14.1550121347
run20	13.0036148459
run21	21.3942316644
run22	9.14513686298
run23	10.8671663325
run24	11.6057838234
run25	14.9654671714
run26	13.299478669
run27	11.7077908779
run28	14.1658019865
run29	11.34099132
run30	16.2147012577
run31	11.8316969672
run32	12.7332803147
run33	14.5158531695
run34	13.7684830855
run35	14.3439063627
run36	11.4728947797
run37	14.7035938551
run38	10.6629344622
run39	10.8240296063
run40	15.9452886197
run41	10.2043718756
run42	12.3520906891
run43	9.55780918895
run44	9.03332249236
run45	14.1599810646
run46	11.1909946395
run47	9.0180636983
run48	12.0257646256
run49	10.9973403619
run50	14.8508026282
run51	10.5544363697
run52	10.7419745642
run53	10.2675874575
run54	15.0864700523
run55	7.71562057229
run56	13.6868950488
run57	12.3767684493
run58	12.2316961187
run59	9.69712694397
run60	11.791925606
run61	11.8695635548
run62	12.8502279283
run63	11.2152879201
run64	14.8239233631
run65	12.2627303842
run66	14.8148735722
run67	13.4419047787
run68	15.7100776129
run69	13.5594533973
run70	15.1481979172
run71	18.269074061
run72	16.1268479788
run73	7.99895169296
run74	16.3930462427
run75	14.1140561687
run76	18.4565429765
run77	14.8296560669
run78	14.4512149864
run79	15.3945216595
run80	14.2492398251
run81	15.5411318564
run82	12.4265530147
run83	12.5234490807
run84	15.500001554
run85	14.3623699107
run86	16.0871458244
run87	12.0225460474
run88	15.4958103416
run89	13.2733987418
run90	13.3799576794
run91	13.5160274435
run92	15.7376181899
run93	13.9232382878
run94	15.9052691804
run95	14.5758481057
run96	17.9404851822
run97	14.3839462713
run98	15.2104904576
run99	15.8247305177
run100	14.3163389129
run101	15.7226671934
run102	12.7894402317
run103	13.7553167096
run104	12.1385817219
run105	20.3676094443
run106	15.6769317793
run107	15.1519018129
run108	14.4057926542
run109	17.9477527042
run110	12.213963678
run111	11.0686269165
run112	11.9046570046
run113	14.2266546259
run114	15.9376004243
run115	14.1234978776
run116	11.8306424964
run117	14.821127499
run118	11.3021824781
run119	11.7595558188
run120	9.24264585163
run121	18.3492259764
run122	12.0222577957
run123	11.0226404925
run124	8.96038922589
run125	12.9466925504
run126	9.87772607847
run127	14.9082487841
