run0	-40.2253326014
run1	-25.1233480237
run2	-26.3220393608
run3	-46.8294408908
run4	-37.3428630601
run5	-47.4915603698
run6	-40.707040046
run7	-34.368935777
run8	-36.5357081807
run9	-47.7097789853
run10	-37.9230832462
run11	-38.2950616711
run12	-43.1556235776
run13	-64.0821145306
run14	-27.5156995202
run15	-44.7034864529
run16	-41.6070841449
run17	-15.7730797556
run18	-35.3782623195
run19	-33.3638940969
run20	-36.4233962581
run21	-27.5683179165
run22	-54.2282672091
run23	-37.8830993478
run24	-32.962452702
run25	-39.5259198528
run26	-47.8925761008
run27	-29.4763663327
run28	-32.9355514615
run29	-38.4411323703
run30	-44.2345563262
run31	-46.0312395675
run32	-41.9558582435
run33	-47.9460972112
run34	-33.1158666614
run35	-50.4826438937
run36	-46.556225608
run37	-44.4291593913
run38	-51.9952276566
run39	-36.7941127365
run40	-56.4843361291
run41	-49.6124232381
run42	-49.6839262323
run43	-38.2528059343
run44	-40.0699623296
run45	-40.8112912981
run46	-16.1166890083
run47	-32.7494798816
run48	-51.054900279
run49	-43.3983867032
run50	-33.179992877
run51	-45.593813993
run52	-51.9091129966
run53	-33.0601963658
run54	-36.6950626809
run55	-98.599887036
run56	-54.6410638188
run57	-46.3462989197
run58	-31.9485840069
run59	-44.7305929532
run60	-45.4704940991
run61	-53.6629215451
run62	-65.397178882
run63	-34.8857381335
run64	-38.933557388
run65	-50.6224141711
run66	-32.072666415
run67	-44.5658350409
run68	-38.4381320029
run69	-21.6717025747
run70	-48.5543226609
run71	-21.7872053261
run72	-19.1055926567
run73	-36.8248260207
run74	-24.3687253557
run75	-43.4251727492
run76	-30.3549260572
run77	-30.7279383838
run78	-36.5387170923
run79	-30.5211139633
run80	-38.4094559971
run81	-22.8764474045
run82	-26.2223924513
run83	-23.1946465316
run84	-39.6719680938
run85	-31.386063463
run86	-49.3495107804
run87	-37.8691828932
run88	-23.6734824926
run89	-33.9664101498
run90	-40.2678697032
run91	-44.5758972052
run92	-40.1949841365
run93	-45.710247992
run94	-20.0867508361
run95	-38.3816476899
run96	-28.1017859195
run97	-27.0749484499
run98	-48.2241825926
run99	-26.175550873
run100	-38.0189048819
run101	-32.1256594607
run102	-30.7698362094
run103	-38.9163285875
run104	-25.5166702977
run105	-35.9260047675
run106	-25.3074946518
run107	-39.1454920685
run108	-39.7631202648
run109	-38.2494825312
run110	-42.6165910227
run111	-25.5415041237
run112	-36.2000800241
run113	-36.841620603
run114	-46.2127714799
run115	-26.7359065552
run116	-38.7961147174
run117	-26.6706153564
run118	-22.5082499409
run119	-26.6993382102
run120	-46.913424652
run121	-25.7784993742
run122	-21.7780470477
run123	-23.6228569898
run124	-38.2011179553
run125	-31.6767682499
run126	-40.7783177086
run127	-57.0514017403
run128	-32.6529933668
run129	-32.867280853
run130	-35.12626103
run131	-27.3919940493
run132	-34.3054284964
run133	-2.12540860078
run134	-39.1523457842
run135	-35.965300101
run136	-31.1335116195
run137	-37.733373065
run138	-30.866954165
run139	-26.2383352784
run140	-47.4005750089
run141	-55.9074445949
run142	-30.9044244601
run143	-33.0597785383
run144	-33.8045455931
run145	-40.0845351287
run146	-53.4906650263
run147	-26.2306217456
run148	-28.4378001845
run149	-25.1751337392
run150	-34.4166675709
run151	-34.8613293255
run152	-25.8570982682
run153	-48.0631989214
run154	-32.5034844843
run155	-36.2415276222
run156	-36.8283572431
run157	-31.4383623349
run158	-47.580041348
run159	-44.1734053285
